requested_density,priority_scenario,treatment_mode,controller_fraction,pairs,priority_speed_delta_mean,priority_speed_delta_ci95_low,priority_speed_delta_ci95_high,worst_priority_speed_delta_mean,worst_priority_speed_delta_ci95_low,worst_priority_speed_delta_ci95_high,background_flow_ratio_mean,background_flow_loss_mean,sufficient_pairs,pv_improvement_significant,background_flow_acceptable,effective_region
0.1,two-2g,baseline2_all_hdv_yield,1.0,10,0.8757750000000002,0.8613493750000002,0.8887250000000002,0.8825500000000002,0.86969875,0.8956000000000002,1.0027673738277552,-0.0027673738277551596,True,True,True,True
0.1,two-2g,baseline2_matched_0.050,0.05,10,0.02187500000000009,0.0017500000000001848,0.04242499999999981,0.022350000000000047,0.0003487499999999088,0.045399999999999975,1.0004242224395896,-0.0004242224395896166,True,True,True,True
0.1,two-2g,baseline2_matched_0.200,0.2,10,0.08752499999999994,0.07002500000000005,0.10852562499999983,0.08814999999999999,0.06935000000000002,0.10949999999999989,1.0009413163458754,-0.0009413163458753537,True,True,True,True
0.1,two-2g,baseline2_matched_0.350,0.35,10,0.16892499999999994,0.15199937500000021,0.18742499999999981,0.15555000000000002,0.13569875000000003,0.17430125000000019,1.0015946119233352,-0.0015946119233352096,True,True,True,True
0.1,two-2g,baseline2_matched_0.500,0.5,10,0.281875,0.27,0.294275625,0.27655,0.2667500000000003,0.2855,1.0025016925668864,-0.002501692566886371,True,True,True,True
0.1,two-2g,baseline2_matched_0.650,0.65,10,0.3737749999999999,0.35667499999999996,0.3913756249999999,0.36500000000000005,0.3438500000000002,0.3835,1.0032061889670163,-0.003206188967016299,True,True,True,True
0.1,two-2g,baseline2_matched_0.800,0.8,10,0.5053250000000001,0.48032500000000045,0.527025625,0.49944999999999995,0.47229749999999987,0.5229025000000002,1.0035764785357872,-0.003576478535787242,True,True,True,True
0.1,two-2g,baseline2_matched_0.950,0.95,10,0.73105,0.7117500000000001,0.7498,0.73125,0.7162499999999998,0.7468000000000001,1.004033364880622,-0.0040333648806218925,True,True,True,True
0.1,two-g,baseline2_all_hdv_yield,1.0,10,0.8510749999999998,0.8266974999999998,0.871650625,0.8623,0.8360987500000001,0.88415,1.0024584580512639,-0.0024584580512638787,True,True,True,True
0.1,two-g,baseline2_matched_0.050,0.05,10,0.003724999999999845,-0.009451250000000255,0.017049999999999618,0.003449999999999953,-0.0096000000000001,0.017350000000000067,0.9999023837036619,9.761629633808777e-05,True,False,True,False
0.1,two-g,baseline2_matched_0.200,0.2,10,0.07132499999999986,0.04934874999999983,0.09467499999999998,0.06870000000000012,0.04874999999999998,0.09200000000000016,1.0007706227930335,-0.0007706227930335263,True,True,True,True
0.1,two-g,baseline2_matched_0.350,0.35,10,0.15589999999999993,0.1359,0.17552499999999993,0.1400500000000001,0.1254987500000001,0.15695000000000006,1.0014673398824496,-0.0014673398824496253,True,True,True,True
0.1,two-g,baseline2_matched_0.500,0.5,10,0.25272499999999987,0.23212437499999977,0.27340124999999965,0.24124999999999996,0.22100000000000009,0.25845124999999997,1.002060252239221,-0.0020602522392210165,True,True,True,True
0.1,two-g,baseline2_matched_0.650,0.65,10,0.3572749999999999,0.335624375,0.3787006249999995,0.35225000000000006,0.3312500000000001,0.3740012500000002,1.0030598814902043,-0.003059881490204308,True,True,True,True
0.1,two-g,baseline2_matched_0.800,0.8,10,0.4977499999999999,0.4750743750000001,0.5267281249999999,0.50495,0.4813500000000001,0.53375125,1.003541810679073,-0.0035418106790729986,True,True,True,True
0.1,two-g,baseline2_matched_0.950,0.95,10,0.70445,0.6781487499999999,0.7268256250000003,0.7027500000000001,0.6769999999999998,0.7290500000000001,1.0034528905209248,-0.0034528905209247895,True,True,True,True
0.15,one,baseline2_all_hdv_yield,1.0,10,0.9912500000000002,0.9805999999999999,1.0016500000000002,0.9912500000000002,0.9807500000000001,1.0016000000000003,0.9978354507980708,0.002164549201929211,True,True,True,True
0.15,one,baseline2_matched_0.050,0.05,10,0.017100000000000025,-0.004300000000000104,0.038201250000000214,0.017100000000000025,-0.004099999999999862,0.03830000000000018,1.000053812200488,-5.3812200488057016e-05,True,False,True,False
0.15,one,baseline2_matched_0.200,0.2,10,0.06940000000000017,0.05814875000000003,0.07970000000000024,0.06940000000000017,0.05840000000000014,0.07980000000000018,0.9999515245791469,4.8475420853066886e-05,True,True,True,True
0.15,one,baseline2_matched_0.350,0.35,10,0.16515000000000005,0.14120000000000008,0.18689999999999998,0.16515000000000005,0.14244875000000004,0.18705000000000008,0.9995859119078272,0.00041408809217280407,True,True,True,True
0.15,one,baseline2_matched_0.500,0.5,10,0.26435000000000014,0.24335000000000012,0.2868512500000001,0.26435000000000014,0.24385000000000004,0.2871500000000001,0.9995371162956159,0.0004628837043840761,True,True,True,True
0.15,one,baseline2_matched_0.650,0.65,10,0.35475000000000023,0.3270500000000003,0.3846500000000003,0.35475000000000023,0.32754875000000017,0.3846000000000003,0.9995718919803018,0.00042810801969817014,True,True,True,True
0.15,one,baseline2_matched_0.800,0.8,10,0.5402500000000001,0.5213,0.5577500000000003,0.5402500000000001,0.5213475,0.5580512500000002,0.9991240459853504,0.0008759540146495715,True,True,True,True
0.15,one,baseline2_matched_0.950,0.95,10,0.8028500000000001,0.7853987500000001,0.82025,0.8028500000000001,0.7852487500000002,0.8209500000000001,0.9987166831792903,0.0012833168207097012,True,True,True,True
